Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
16:57:37.433,BUCK,0,47.04,24.87,0.0,0.0,None
16:57:37.453,BUCK,1,47.17,24.87,0.0,0.0,None
16:57:37.473,BUCK,1,47.14,24.87,0.0,0.0,None
16:57:37.493,BUCK,1,47.14,24.87,0.0,0.0,None
16:57:37.513,BUCK,1,47.14,24.87,0.0,0.0,None
16:57:37.534,BOOST,1,46.35,25.33,4.7,7.9,None
16:57:37.554,BOOST,2,47.17,24.94,0.0,0.0,None
16:57:37.574,BOOST,2,47.12,24.91,0.1,0.0,None
16:57:37.594,BOOST,2,47.09,24.88,0.1,0.0,None
16:57:37.616,BOOST,2,47.09,24.88,0.0,0.0,None
16:57:37.636,BUCK,2,47.12,24.87,0.0,0.0,None
16:57:37.656,BUCK,3,48.5,24.88,0.8,-0.4,None
16:57:37.677,BUCK,3,47.09,24.9,0.1,0.0,None
16:57:37.697,BUCK,3,47.12,24.88,0.0,0.0,None
16:57:37.718,BUCK,3,47.09,24.88,0.0,0.0,None
16:57:37.738,BOOST,3,47.12,24.88,0.1,0.0,None
16:57:37.758,BOOST,3,47.89,24.41,-4.2,-6.8,None
16:57:37.779,BOOST,3,47.79,24.35,-4.1,-6.7,None
16:57:37.799,BOOST,3,47.76,24.32,-4.1,-6.7,None
16:57:37.819,BOOST,3,47.73,24.3,-4.1,-6.8,None
16:57:37.839,BUCK,3,47.79,24.29,-4.1,-6.7,None
16:57:37.860,BUCK,3,47.04,24.74,0.0,0.0,None
16:57:37.881,BUCK,3,47.07,24.77,0.0,0.0,None
16:57:37.902,BUCK,3,47.07,24.8,0.0,0.0,None
16:57:37.922,BUCK,3,47.07,24.81,0.0,0.0,None
16:57:37.942,BOOST,3,47.12,24.81,0.1,0.0,None
16:57:37.962,BOOST,3,47.91,24.39,-3.9,-6.7,None
16:57:37.983,BOOST,3,47.76,24.3,-4.1,-6.8,None
16:57:38.004,BOOST,3,47.76,24.29,-4.1,-6.7,None
16:57:38.024,BOOST,3,47.79,24.27,-4.1,-6.7,None
16:57:38.045,BUCK,3,47.79,24.26,-4.1,-6.7,None
16:57:38.065,BUCK,3,47.02,24.67,0.0,0.0,None
16:57:38.086,BUCK,3,47.04,24.74,0.0,0.0,None
16:57:38.107,BUCK,3,47.07,24.77,0.1,0.0,None
16:57:38.128,BUCK,3,47.04,24.78,0.0,0.0,None
16:57:38.148,BOOST,3,47.09,24.78,0.0,0.0,None
16:57:38.169,BOOST,3,48.38,24.56,-0.7,-3.8,None
16:57:38.189,BOOST,3,46.99,24.29,-4.6,-6.7,None
16:57:38.210,BOOST,3,47.79,24.27,-4.1,-6.8,None
16:57:38.230,BOOST,3,47.76,24.26,-4.1,-6.8,None
16:57:38.251,BUCK,3,47.79,24.25,-4.1,-6.7,None
16:57:38.271,BUCK,3,46.91,24.41,-3.4,-3.1,None
16:57:38.292,BUCK,3,47.02,24.71,0.0,0.0,None
16:57:38.312,BUCK,3,47.09,24.74,0.0,0.0,None
16:57:38.332,BUCK,3,47.04,24.75,0.0,0.0,None
16:57:38.352,BOOST,3,47.09,24.77,0.2,0.0,None
16:57:38.372,BOOST,3,48.53,24.14,-5.6,-9.9,None
16:57:38.393,BOOST,3,47.79,24.26,-4.1,-6.7,None
16:57:38.413,BOOST,3,47.76,24.25,-4.1,-6.7,None
16:57:38.433,BOOST,3,47.76,24.25,-4.1,-6.7,None
16:57:38.454,BUCK,3,47.79,24.23,-4.1,-6.7,None
16:57:38.475,BUCK,3,46.99,24.68,0.0,0.0,None
16:57:38.496,BUCK,3,47.04,24.72,0.0,0.0,None
16:57:38.517,BUCK,3,47.04,24.74,0.1,0.0,None
16:57:38.537,BUCK,3,47.09,24.75,0.1,0.0,None
16:57:38.558,BOOST,3,47.14,24.75,0.1,0.0,None
16:57:38.579,BOOST,3,47.84,24.3,-4.1,-6.7,None
16:57:38.600,BOOST,3,47.79,24.25,-4.1,-6.7,None
16:57:38.621,BOOST,3,47.76,24.25,-4.1,-6.7,None
16:57:38.641,BOOST,3,47.76,24.23,-4.1,-6.7,None
16:57:38.661,BUCK,3,47.79,24.23,-4.1,-6.7,None
16:57:38.682,BUCK,3,47.02,24.65,0.0,0.0,None
16:57:38.702,BUCK,3,47.04,24.7,0.0,0.0,None
16:57:38.722,BUCK,3,47.04,24.71,0.1,0.0,None
16:57:38.742,BUCK,3,47.09,24.72,0.2,0.0,None
16:57:38.762,BOOST,3,47.14,24.74,0.1,0.0,None
16:57:38.783,BOOST,3,47.86,24.32,-4.1,-6.7,None
16:57:38.804,BOOST,3,47.79,24.25,-4.2,-6.7,None
16:57:38.825,BOOST,3,47.79,24.23,-3.9,-6.8,None
16:57:38.846,BOOST,3,47.76,24.22,-4.1,-6.7,None
16:57:38.867,BUCK,3,47.79,24.22,-4.1,-6.7,None
16:57:38.887,BUCK,3,47.04,24.61,0.1,0.0,None
16:57:38.909,BUCK,3,47.02,24.67,0.0,0.0,None
16:57:38.929,BUCK,3,47.04,24.71,0.0,0.0,None
16:57:38.949,BUCK,3,47.07,24.71,0.1,0.0,None
