Timestamp,LTO_Seq,LTO_Mode,LTO_HS_V,LTO_LS_V,LTO_HS_A,LTO_LS_A,LTO_Faults,LA_Seq,LA_Mode,LA_HS_V,LA_LS_V,LA_HS_A,LA_LS_A,LA_Faults,Pack_V,Pack_A,SOC_%,T_Max,T_Min,Cell_Max_mV,Cell_Min_mV,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24
16:03:17.177,BOOST,1,47.41,28.43,0.0,0.0,None,BOOST,1,47.5,24.93,0.0,0.0,None,28.4,0.0,66,21,21,2375,2369,2371,2375,2375,2375,2375,2375,2375,2375,2375,2375,2377,2369,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.281,BOOST,1,52.01,24.6,-8.5,-17.2,None,BOOST,1,51.99,24.45,-3.7,-6.7,None,28.4,0.0,66,21,21,2375,2369,2371,2375,2375,2375,2375,2375,2375,2375,2375,2375,2377,2369,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.385,BOOST,3,51.98,24.57,-8.5,-17.4,None,BOOST,3,51.97,24.32,-3.7,-6.7,None,28.1,0.0,66,21,21,2375,2086,2371,2375,2375,2375,2375,2375,2375,2375,2375,2375,2377,2369,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.489,BOOST,3,51.98,24.55,-8.5,-17.2,None,BOOST,3,51.99,24.3,-3.8,-6.7,None,28.1,0.0,66,21,21,2375,2086,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.593,BOOST,3,51.98,24.55,-8.4,-17.3,None,BOOST,3,51.97,24.27,-3.7,-6.7,None,28.1,0.0,66,21,21,2005,2086,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.698,BOOST,3,51.98,24.53,-8.5,-17.3,None,BOOST,3,51.97,24.26,-3.7,-6.7,None,28.1,0.0,66,21,21,2005,2086,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.803,BOOST,3,51.98,24.52,-8.4,-17.4,None,BOOST,3,51.97,24.26,-3.7,-6.7,None,24.7,0.0,66,21,21,2005,2082,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:17.907,BOOST,3,51.98,24.5,-8.4,-17.3,None,BOOST,3,51.97,24.25,-3.7,-6.7,None,24.7,0.0,66,21,21,2005,2082,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:18.012,BOOST,3,51.96,24.49,-8.5,-17.4,None,BOOST,3,51.97,24.23,-3.7,-6.7,None,24.7,-18.4,66,21,21,2004,2082,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:18.116,BOOST,3,51.98,24.49,-8.4,-17.4,None,BOOST,3,51.99,24.22,-3.7,-6.7,None,24.7,-18.4,66,21,21,2004,2082,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
16:03:18.220,BOOST,3,51.98,24.47,-8.4,-17.4,None,BOOST,3,51.99,24.22,-3.7,-6.7,None,24.6,-18.4,66,21,21,2004,2079,2372,2375,1933,2093,1917,2240,1795,2131,2051,1946,2231,2086,0,0,0,0,0,0,0,0,0,0,0,0
