Timestamp,Calex_Seq,Calex_Mode,HS_V,LS_V,HS_A,LS_A,Calex_Faults
17:27:22.698,BOOST,1,47.4,24.87,0.0,0.0,None
17:27:22.807,BOOST,3,48.04,24.39,-4.1,-6.8,None
17:27:22.907,BOOST,3,48.02,24.29,-4.1,-6.7,None
17:27:23.008,BOOST,3,47.99,24.26,-4.1,-6.7,None
17:27:23.118,BOOST,3,47.99,24.25,-4.1,-6.7,None
17:27:23.218,BOOST,3,47.99,24.23,-4.1,-6.7,None
17:27:23.328,BOOST,3,48.02,24.22,-4.2,-6.8,None
17:27:23.438,BOOST,3,47.99,24.2,-4.1,-6.7,None
17:27:23.538,BOOST,3,47.99,24.19,-4.1,-6.7,None
17:27:23.647,BOOST,3,48.07,24.19,-4.1,-6.7,None
17:27:23.758,BOOST,3,48.02,24.17,-4.1,-6.7,None
17:27:23.858,BOOST,3,48.02,24.16,-4.1,-6.7,None
17:27:23.958,BOOST,3,48.04,24.16,-3.9,-6.7,None
17:27:24.067,BOOST,3,48.02,24.14,-4.1,-6.8,None
17:27:24.159,BOOST,3,48.02,24.14,-4.1,-6.8,None
17:27:24.278,BOOST,3,47.99,24.13,-4.1,-6.7,None
17:27:24.378,BOOST,3,48.02,24.13,-4.1,-6.7,None
17:27:24.483,BOOST,3,47.99,24.13,-4.1,-6.7,None
17:27:24.587,BOOST,3,47.97,24.11,-4.1,-6.7,None
17:27:24.687,BOOST,3,47.97,24.11,-4.1,-6.7,None
17:27:24.798,BOOST,3,47.97,24.11,-4.2,-6.7,None
17:27:24.898,BOOST,3,47.99,24.1,-4.1,-6.8,None
17:27:25.007,BOOST,3,47.97,24.1,-4.1,-6.7,None
17:27:25.107,BOOST,3,47.99,24.1,-4.1,-6.7,None
17:27:25.207,BOOST,3,47.97,24.09,-4.1,-6.7,None
17:27:25.307,BOOST,3,47.97,24.09,-4.1,-6.7,None
17:27:25.408,BOOST,3,47.99,24.07,-4.1,-6.7,None
17:27:25.508,BOOST,3,47.99,24.07,-4.1,-6.7,None
17:27:25.608,BOOST,3,47.99,24.07,-4.1,-6.7,None
17:27:25.728,BOOST,3,48.02,24.07,-4.1,-6.7,None
17:27:25.838,BOOST,3,48.02,24.07,-4.1,-6.8,None
17:27:25.938,BOOST,3,48.02,24.06,-4.1,-6.7,None
17:27:26.038,BOOST,3,48.02,24.06,-4.1,-6.7,None
17:27:26.147,BOOST,3,48.02,24.06,-4.1,-6.7,None
17:27:26.258,BOOST,3,47.99,24.04,-4.1,-6.8,None
17:27:26.358,BOOST,3,47.97,24.04,-4.1,-6.7,None
17:27:26.467,BOOST,3,47.97,24.04,-4.1,-6.7,None
17:27:26.578,BOOST,3,47.97,24.04,-4.1,-6.8,None
17:27:26.678,BOOST,3,47.99,24.04,-4.1,-6.7,None
17:27:26.787,BOOST,3,47.97,24.03,-4.1,-6.7,None
