Timestamp,Pack_V,Pack_A,SOC_%,Temp_Max_C,Temp_Min_C,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Chg_ON,Dsg_ON,Bal_ON
14:53:08.232,28.8,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.341,28.9,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.454,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.562,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.663,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.765,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.866,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:08.966,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:09.066,28.9,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:09.167,28.8,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:09.268,28.8,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:09.369,28.8,0.0,68,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14:53:09.519,28.8,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
14:53:09.571,28.9,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
14:53:09.671,28.9,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
14:53:09.780,28.9,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
14:53:09.889,28.9,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
14:53:10.001,28.9,0.0,68,31,31,2408,2410,2409,2409,2409,2409,2410,2410,2410,0,0,0,1,1,1
