Timestamp,LTO_Seq,LTO_Mode,LTO_HS_V,LTO_LS_V,LTO_HS_A,LTO_LS_A,LTO_Faults,LA_Seq,LA_Mode,LA_HS_V,LA_LS_V,LA_HS_A,LA_LS_A,LA_Faults,Pack_V,Pack_A,SOC_%,T_Max,T_Min,Cell_Max_mV,Cell_Min_mV,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24
15:40:46.299,BOOST,5,0.04,28.49,0.0,0.0,4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.405,BOOST,5,0.04,28.48,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.505,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.88,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.607,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2380,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.710,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2380,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.810,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2380,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:46.914,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.88,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:47.015,BOOST,5,0.04,28.48,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.88,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:47.120,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.87,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:47.220,BOOST,5,0.04,28.48,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.88,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
15:40:47.325,BOOST,5,0.04,28.49,0.0,0.0,6_CAN_OOR|4_HS_UVP,BUCK,5,0.04,24.88,0.0,0.0,6_CAN_OOR|4_HS_UVP,28.5,0.0,67,20,20,2379,2373,2375,2379,2379,2379,2378,2379,2378,2380,2379,2379,2380,2373,0,0,0,0,0,0,0,0,0,0,0,0
