Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
17:25:30.440,BUCK,0,48.99,24.81,0.0,0.0,None
17:25:30.540,BUCK,1,47.02,26.51,16.6,28.2,None
17:25:30.640,BUCK,2,48.17,26.5,7.3,12.7,None
17:25:30.740,BUCK,2,48.3,26.5,6.1,10.6,None
17:25:30.840,BUCK,2,48.35,26.5,5.6,9.7,None
17:25:30.941,BUCK,2,48.38,26.5,5.3,9.2,None
17:25:31.042,BUCK,2,48.4,26.5,5.2,8.9,None
17:25:31.143,BUCK,2,48.4,26.5,5.1,8.8,None
17:25:31.244,BUCK,2,48.4,26.5,5.1,8.7,None
17:25:31.344,BUCK,2,48.4,26.5,4.9,8.5,None
17:25:31.445,BOOST,2,48.43,26.5,4.9,8.5,None
17:25:31.546,BOOST,2,54.02,23.94,-7.8,-16.6,None
17:25:31.647,BOOST,3,54.04,23.77,-7.7,-16.8,None
17:25:31.747,BOOST,3,54.02,23.71,-7.7,-16.8,None
17:25:31.848,BOOST,3,54.04,23.68,-7.8,-16.8,None
17:25:31.949,BOOST,3,54.02,23.65,-7.7,-16.8,None
17:25:32.049,BOOST,3,54.02,23.62,-7.7,-16.8,None
17:25:32.149,BOOST,3,54.02,23.61,-7.7,-16.8,None
17:25:32.250,BOOST,3,54.04,23.58,-7.7,-16.9,None
17:25:32.351,BOOST,3,54.02,23.56,-7.7,-16.8,None
17:25:32.452,BUCK,3,54.02,23.55,-7.7,-16.8,None
17:25:32.552,BUCK,3,47.38,26.5,14.1,24.1,None
17:25:32.653,BUCK,2,47.89,26.5,9.9,17.0,None
17:25:32.754,BUCK,2,48.02,26.5,8.4,14.7,None
17:25:32.854,BUCK,2,48.09,26.5,7.7,13.3,None
17:25:32.955,BUCK,2,48.17,26.5,7.1,12.3,None
17:25:33.055,BUCK,2,48.22,26.5,6.7,11.6,None
17:25:33.156,BUCK,2,48.25,26.5,6.4,11.1,None
17:25:33.256,BUCK,2,48.3,26.5,6.3,10.6,None
17:25:33.357,BUCK,2,48.3,26.5,5.9,10.1,None
17:25:33.457,BOOST,2,48.35,26.5,5.7,9.7,None
17:25:33.557,BOOST,2,54.02,24.0,-7.8,-16.5,None
17:25:33.658,BOOST,3,54.02,23.72,-7.7,-16.8,None
17:25:33.758,BOOST,3,54.02,23.68,-7.8,-16.8,None
17:25:33.859,BOOST,3,54.02,23.65,-7.7,-16.8,None
17:25:33.959,BOOST,3,54.02,23.62,-7.8,-16.8,None
17:25:34.060,BOOST,3,54.02,23.59,-7.7,-16.8,None
17:25:34.160,BOOST,3,54.02,23.58,-7.8,-16.9,None
