Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
16:57:32.659,BUCK,0,0,0,0,0,None
16:57:32.760,BUCK,2,43.53,33.98,22.6,28.6,None
16:57:32.861,BUCK,2,43.48,33.98,22.8,28.6,None
16:57:32.962,BUCK,2,43.45,34.0,22.6,28.6,None
16:57:33.063,BUCK,2,43.53,34.0,22.8,28.6,None
16:57:33.163,BOOST,2,43.55,34.0,22.8,28.6,None
16:57:33.264,BOOST,2,48.66,21.15,-16.6,-38.7,None
16:57:33.364,BOOST,3,48.59,21.15,-16.8,-38.7,None
16:57:33.464,BOOST,3,48.56,21.14,-16.8,-38.7,None
16:57:33.565,BOOST,3,48.59,21.15,-16.8,-38.7,None
16:57:33.666,BUCK,3,48.59,21.16,-16.8,-38.7,None
16:57:33.767,BUCK,3,43.5,33.87,22.6,28.6,None
16:57:33.867,BUCK,2,43.55,33.88,22.6,28.5,None
16:57:33.968,BUCK,2,43.53,33.89,22.6,28.6,None
16:57:34.068,BUCK,2,43.53,33.92,22.6,28.6,None
16:57:34.169,BOOST,2,43.5,33.92,22.6,28.6,None
16:57:34.269,BOOST,2,48.66,21.19,-16.8,-38.6,None
16:57:34.370,BOOST,3,48.59,21.18,-16.8,-38.7,None
16:57:34.470,BOOST,3,48.56,21.16,-16.8,-38.7,None
16:57:34.571,BOOST,3,48.56,21.18,-16.8,-38.7,None
16:57:34.672,BUCK,3,48.56,21.18,-16.8,-38.7,None
16:57:34.772,BUCK,2,43.53,33.94,22.8,28.6,None
16:57:34.873,BUCK,2,43.55,33.94,22.6,28.6,None
16:57:34.974,BUCK,2,43.55,33.94,22.8,28.6,None
16:57:35.075,BUCK,2,43.55,33.92,22.8,28.6,None
16:57:35.176,BOOST,2,43.53,33.91,22.8,28.5,None
16:57:35.276,BOOST,3,48.66,21.19,-16.8,-38.8,None
16:57:35.377,BOOST,3,48.59,21.19,-16.8,-38.7,None
16:57:35.477,BOOST,3,48.61,21.27,-16.9,-38.8,None
16:57:35.577,BOOST,3,48.61,21.27,-16.8,-38.7,None
16:57:35.678,BUCK,3,48.64,21.25,-16.8,-38.6,None
16:57:35.778,BUCK,2,43.53,33.87,22.6,28.6,None
16:57:35.878,BUCK,2,43.6,33.89,22.8,28.6,None
16:57:35.979,BUCK,2,43.58,33.91,22.6,28.6,None
16:57:36.080,BUCK,2,43.58,33.97,22.6,28.6,None
16:57:36.180,BOOST,2,43.55,33.92,22.8,28.5,None
16:57:36.281,BOOST,3,48.69,21.18,-16.6,-38.7,None
16:57:36.382,BOOST,3,48.61,21.27,-16.9,-38.7,None
16:57:36.482,BOOST,3,48.61,21.24,-16.8,-38.7,None
16:57:36.583,BOOST,3,48.61,21.25,-16.8,-38.7,None
16:57:36.684,BUCK,3,48.61,21.24,-16.8,-38.7,None
16:57:36.785,BUCK,2,43.55,33.88,22.8,28.6,None
16:57:36.885,BUCK,2,43.63,33.89,22.6,28.5,None
16:57:36.986,BUCK,2,46.54,37.85,0.1,0.0,None
