Timestamp,Pack_V,Pack_A,SOC_%,Cell_Max_mV,Cell_Min_mV,Chg_ON,Dsg_ON,Bal_ON
13:59:02.710,0.0,0.0,0,0,0,1,1,1
13:59:02.945,28.9,0.0,68,2417,26887,1,1,1
13:59:03.148,28.9,0.0,68,2416,26887,1,1,1
13:59:03.349,28.9,0.0,68,2417,26887,1,1,1
13:59:03.551,28.9,0.0,68,2417,26887,1,1,1
13:59:03.752,28.9,0.0,68,2416,26887,1,1,1
13:59:03.955,28.9,0.0,68,2416,26887,1,1,1
13:59:04.173,28.9,0.0,68,2416,26887,1,1,1
13:59:04.393,28.9,0.0,68,2416,26887,1,1,1
13:59:04.614,28.9,0.0,68,2416,26887,1,1,1
13:59:04.829,28.9,0.0,68,2416,26887,1,1,1
13:59:05.033,28.9,0.0,68,2417,26887,1,1,1
13:59:05.234,28.9,0.0,68,2416,26887,1,1,1
13:59:05.434,28.9,0.0,68,2417,26887,1,1,1
13:59:05.636,28.9,0.0,68,2416,26887,1,1,1
13:59:05.837,28.9,0.0,68,2416,26887,1,1,1
13:59:06.050,28.9,0.0,68,2416,26887,1,1,1
13:59:06.272,28.9,0.0,68,2416,26887,1,1,1
13:59:06.493,28.9,0.0,68,2417,26887,1,1,1
13:59:06.710,28.9,0.0,68,2417,26887,1,1,1
13:59:06.917,28.9,0.0,68,2417,26887,1,1,1
13:59:07.118,28.9,0.0,68,2416,26887,1,1,1
13:59:07.317,28.9,0.0,68,2416,26887,1,1,1
13:59:07.521,28.9,0.0,68,2417,26887,1,1,1
13:59:07.721,28.9,0.0,68,2417,26887,1,1,1
13:59:07.931,28.9,0.0,68,2416,26887,1,1,1
13:59:08.155,28.9,0.0,68,2416,26631,1,1,1
13:59:08.378,28.9,0.0,68,2417,26631,1,1,1
13:59:08.598,28.9,0.0,68,2417,26887,1,1,1
13:59:08.808,28.9,0.0,68,2416,26887,1,1,1
13:59:09.013,28.9,0.0,68,2416,26887,1,1,1
13:59:09.214,28.9,0.0,68,2416,26887,1,1,1
13:59:09.415,28.9,0.0,68,2416,26887,1,1,1
13:59:09.616,28.9,0.0,68,2417,26887,1,1,1
13:59:09.820,28.9,0.0,68,2417,26887,1,1,1
13:59:10.039,28.9,0.0,68,2417,26887,1,1,1
13:59:10.260,28.9,0.0,68,2417,26887,1,1,1
13:59:10.478,28.9,0.0,68,2416,26887,1,1,1
13:59:10.693,28.9,0.0,68,2416,26887,1,1,1
13:59:10.896,28.9,0.0,68,2416,26888,1,1,1
13:59:11.097,28.9,0.0,68,2416,26888,1,1,1
13:59:11.298,28.9,0.0,68,2417,26888,1,1,1
13:59:11.501,28.9,0.0,68,2416,26888,1,1,1
13:59:11.702,28.9,0.0,68,2416,26888,1,1,1
13:59:11.920,28.9,0.0,68,2416,26888,1,1,1
13:59:12.144,28.9,0.0,68,2416,26888,1,1,1
13:59:12.367,28.9,0.0,68,2417,26888,1,1,1
13:59:12.587,28.9,0.0,68,2416,26888,1,1,1
13:59:12.791,28.9,0.0,68,2416,26888,1,1,1
13:59:12.992,28.9,0.0,68,2416,26888,1,1,1
13:59:13.192,28.9,0.0,68,2416,26888,1,1,1
13:59:13.395,28.9,0.0,68,2416,26888,1,1,1
13:59:13.595,28.9,0.0,68,2417,26888,1,1,1
13:59:13.810,28.9,0.0,68,2417,26888,1,1,1
13:59:14.027,28.9,0.0,68,2417,26888,1,1,1
13:59:14.248,28.9,0.0,68,2416,26888,1,1,1
13:59:14.466,28.9,0.0,68,2416,26888,1,1,1
13:59:14.673,28.9,0.0,68,2416,26888,1,1,1
13:59:14.876,28.9,0.0,68,2416,26888,1,1,1
13:59:15.076,28.9,0.0,68,2416,26888,1,1,1
13:59:15.278,28.9,0.0,68,2416,26888,1,1,1
13:59:15.479,28.9,0.0,68,2416,26632,1,1,1
13:59:15.688,28.9,0.0,68,2416,26632,1,1,1
