Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
15:31:53.614,BUCK,0,0,0,0,0,None
15:31:53.715,BUCK,2,43.63,33.92,22.6,28.6,None
15:31:53.815,BUCK,2,43.66,33.92,22.6,28.6,None
15:31:53.915,BUCK,2,43.55,33.94,22.8,28.6,None
15:31:54.016,BUCK,2,43.58,33.94,22.8,28.6,None
15:31:54.116,BOOST,2,43.58,33.95,22.6,28.6,None
15:31:54.216,BOOST,2,43.6,33.95,22.6,28.6,None
15:31:54.317,BOOST,2,43.58,33.95,22.8,28.6,None
15:31:54.417,BOOST,2,43.58,33.95,22.8,28.6,None
15:31:54.517,BOOST,2,43.58,33.94,22.8,28.6,None
15:31:54.617,DEAD_TIME,2,43.58,33.94,22.8,28.6,None
15:31:54.717,BUCK,2,43.53,33.94,22.6,28.5,None
15:31:54.818,BUCK,2,43.55,33.95,22.6,28.6,None
15:31:54.919,BUCK,2,43.58,33.95,22.8,28.6,None
15:31:55.020,BUCK,2,43.55,33.95,22.8,28.6,None
15:31:55.120,BOOST,2,43.55,33.95,22.8,28.6,None
15:31:55.221,BOOST,2,43.55,33.97,22.8,28.6,None
15:31:55.321,BOOST,2,43.58,34.01,22.8,28.6,None
15:31:55.422,BOOST,2,43.55,34.01,22.8,28.6,None
15:31:55.523,BOOST,2,43.55,33.98,22.8,28.6,None
15:31:55.624,BUCK,2,43.55,33.98,22.8,28.5,None
15:31:55.725,BUCK,2,43.58,33.98,22.9,28.6,None
15:31:55.826,BUCK,2,43.58,34.0,22.8,28.6,None
15:31:55.926,BUCK,2,43.58,34.0,22.6,28.6,None
15:31:56.026,BUCK,2,43.58,34.0,22.8,28.6,None
15:31:56.127,BOOST,2,43.58,34.0,22.8,28.6,None
15:31:56.227,BOOST,2,43.63,34.0,22.8,28.5,None
15:31:56.327,BOOST,2,43.6,34.01,22.9,28.6,None
15:31:56.428,BOOST,2,43.6,34.05,22.9,28.6,None
15:31:56.529,BOOST,2,43.58,34.05,22.8,28.6,None
15:31:56.629,BUCK,2,43.6,34.01,22.8,28.6,None
15:31:56.730,BUCK,2,43.6,34.01,22.8,28.6,None
15:31:56.830,BUCK,2,43.63,34.02,22.8,28.6,None
15:31:56.930,BUCK,2,43.63,34.02,22.8,28.6,None
15:31:57.030,BUCK,2,43.63,34.02,22.8,28.6,None
15:31:57.131,BOOST,2,43.66,34.02,22.8,28.5,None
15:31:57.232,BOOST,2,43.66,34.04,22.8,28.6,None
15:31:57.332,BOOST,2,43.63,34.04,22.9,28.5,None
15:31:57.433,BOOST,2,43.63,34.04,22.8,28.6,None
15:31:57.534,BOOST,2,43.71,34.04,22.8,28.6,None
15:31:57.634,BUCK,2,43.71,34.08,22.8,28.6,None
15:31:57.735,BUCK,2,43.68,34.05,22.8,28.6,None
15:31:57.835,BUCK,2,43.68,34.05,22.8,28.6,None
15:31:57.937,BUCK,2,43.71,34.05,22.8,28.6,None
15:31:58.037,BUCK,2,46.67,38.43,0.1,0.0,None
15:31:58.138,BOOST,2,46.52,37.13,0.1,0.0,None
15:31:58.238,BOOST,2,46.49,35.9,0.1,0.0,None
15:31:58.339,BOOST,2,46.49,34.7,0.2,0.0,None
15:31:58.439,BOOST,2,46.47,34.94,0.3,0.0,None
15:31:58.540,BOOST,2,46.49,34.94,0.2,0.0,None
15:31:58.640,BUCK,2,46.49,34.94,0.3,0.0,None
15:31:58.741,BUCK,2,46.49,34.94,0.2,0.0,None
15:31:58.842,BUCK,2,46.49,34.94,0.3,0.0,None
15:31:58.942,BUCK,2,46.49,34.94,0.2,0.0,None
15:31:59.043,BUCK,2,46.49,34.94,0.2,0.0,None
