Timestamp,Pack_V,Pack_A,SOC_%,Cell_Max_mV,Cell_Min_mV,Temp_Max_C,Temp_Min_C,Alarms
15:53:03.281,0.0,0.0,0,0,0,0,0,N/A
15:53:03.482,0.0,0.0,0,0,0,0,0,N/A
15:53:03.682,0.0,0.0,0,0,0,0,0,N/A
15:53:03.883,0.0,0.0,0,0,0,0,0,N/A
15:53:04.084,0.0,0.0,0,0,0,0,0,N/A
15:53:04.284,0.0,0.0,0,0,0,0,0,N/A
15:53:04.485,0.0,0.0,0,0,0,0,0,N/A
15:53:04.686,0.0,0.0,0,0,0,0,0,N/A
15:53:04.886,0.0,0.0,0,0,0,0,0,N/A
15:53:05.087,0.0,0.0,0,0,0,0,0,N/A
15:53:05.288,0.0,0.0,0,0,0,0,0,N/A
15:53:05.489,0.0,0.0,0,0,0,0,0,N/A
15:53:05.690,0.0,0.0,0,0,0,0,0,N/A
15:53:05.891,0.0,0.0,0,0,0,0,0,N/A
15:53:06.092,0.0,0.0,0,0,0,0,0,N/A
15:53:06.293,0.0,0.0,0,0,0,0,0,N/A
15:53:06.493,0.0,0.0,0,0,0,0,0,N/A
15:53:06.694,0.0,0.0,0,0,0,0,0,N/A
15:53:06.894,0.0,0.0,0,0,0,0,0,N/A
15:53:07.095,0.0,0.0,0,0,0,0,0,N/A
15:53:07.296,0.0,0.0,0,0,0,0,0,N/A
15:53:07.496,0.0,0.0,0,0,0,0,0,N/A
15:53:07.697,0.0,0.0,0,0,0,0,0,N/A
15:53:07.897,0.0,0.0,0,0,0,0,0,N/A
15:53:08.098,0.0,0.0,0,0,0,0,0,N/A
15:53:08.299,0.0,0.0,0,0,0,0,0,N/A
15:53:08.499,0.0,0.0,0,0,0,0,0,N/A
15:53:08.700,0.0,0.0,0,0,0,0,0,N/A
15:53:08.900,0.0,0.0,0,0,0,0,0,N/A
15:53:09.101,0.0,0.0,0,0,0,0,0,N/A
15:53:09.301,0.0,0.0,0,0,0,0,0,N/A
15:53:09.502,0.0,0.0,0,0,0,0,0,N/A
15:53:09.703,0.0,0.0,0,0,0,0,0,N/A
15:53:09.904,0.0,0.0,0,0,0,0,0,N/A
15:53:10.104,0.0,0.0,0,0,0,0,0,N/A
15:53:10.305,0.0,0.0,0,0,0,0,0,N/A
15:53:10.506,0.0,0.0,0,0,0,0,0,N/A
15:53:10.707,0.0,0.0,0,0,0,0,0,N/A
15:53:10.908,0.0,0.0,0,0,0,0,0,N/A
15:53:11.109,0.0,0.0,0,0,0,0,0,N/A
15:53:11.309,0.0,0.0,0,0,0,0,0,N/A
15:53:11.510,0.0,0.0,0,0,0,0,0,N/A
15:53:11.711,0.0,0.0,0,0,0,0,0,N/A
15:53:11.912,0.0,0.0,0,0,0,0,0,N/A
