Timestamp,Sequence,Mode,HS_V,LS_V,HS_A,LS_A,Faults
17:47:48.678,BUCK,0,46.91,28.99,0.0,0.0,None
17:47:48.779,BUCK,2,44.2,33.73,22.5,28.6,None
17:47:48.879,BUCK,2,44.2,33.74,22.4,28.6,None
17:47:48.979,BUCK,2,44.17,33.74,22.5,28.6,None
17:47:49.079,BUCK,2,44.15,33.76,22.5,28.6,None
17:47:49.180,DEAD_TIME,2,44.15,33.76,22.5,28.6,None
17:47:49.281,BOOST,3,49.84,18.54,-21.5,-59.0,None
17:47:49.382,BOOST,3,49.76,18.54,-21.5,-59.0,None
17:47:49.483,BOOST,3,49.76,18.57,-21.7,-59.0,None
17:47:49.583,BOOST,3,49.76,18.64,-21.5,-59.0,None
17:47:49.683,BUCK,3,49.79,18.68,-21.7,-59.1,None
17:47:49.784,BUCK,2,44.09,33.64,22.4,28.6,None
17:47:49.884,BUCK,2,44.12,33.67,22.4,28.6,None
17:47:49.985,BUCK,2,44.12,33.67,22.4,28.6,None
17:47:50.085,BUCK,2,44.12,33.68,22.4,28.6,None
17:47:50.185,BOOST,2,44.09,33.68,22.4,28.6,None
17:47:50.286,BOOST,3,49.86,18.63,-21.7,-59.1,None
17:47:50.386,BOOST,3,49.73,18.52,-21.5,-59.0,None
17:47:50.486,BOOST,3,49.76,18.7,-21.7,-59.0,None
17:47:50.587,BOOST,3,49.79,18.73,-21.7,-58.9,None
17:47:50.687,BUCK,3,49.79,18.74,-21.7,-59.0,None
17:47:50.788,BUCK,2,44.02,33.61,22.4,28.6,None
17:47:50.889,BUCK,2,44.09,33.64,22.4,28.6,None
17:47:50.990,BUCK,2,44.09,33.65,22.2,28.6,None
17:47:51.090,BUCK,2,44.09,33.67,22.4,28.6,None
17:47:51.191,BOOST,2,44.07,33.67,22.2,28.6,None
17:47:51.291,BOOST,3,49.89,18.71,-21.7,-59.0,None
17:47:51.391,BOOST,3,49.79,18.7,-21.7,-59.0,None
17:47:51.493,BOOST,3,49.79,18.7,-21.8,-59.0,None
17:47:51.593,BOOST,3,49.79,18.71,-21.8,-59.0,None
17:47:51.693,BUCK,3,49.79,18.71,-21.8,-59.0,None
17:47:51.794,BUCK,2,43.99,33.63,22.5,28.6,None
17:47:51.894,BUCK,2,44.09,33.64,22.2,28.6,None
17:47:51.995,BUCK,2,44.07,33.65,22.4,28.6,None
17:47:52.095,BUCK,2,44.12,33.67,22.4,28.6,None
17:47:52.196,BOOST,2,44.09,33.67,22.4,28.4,None
17:47:52.297,BOOST,3,49.84,18.66,-21.7,-58.9,None
17:47:52.397,BOOST,3,49.79,18.63,-21.7,-59.0,None
17:47:52.497,BOOST,3,49.76,18.63,-21.7,-59.0,None
17:47:52.597,BOOST,3,49.76,18.64,-21.7,-59.1,None
17:47:52.698,BUCK,3,49.76,18.64,-21.7,-59.0,None
17:47:52.798,BUCK,2,44.04,33.61,22.4,28.6,None
17:47:52.899,BUCK,2,44.12,33.64,22.2,28.6,None
17:47:53.001,BUCK,2,44.07,33.67,22.4,28.6,None
17:47:53.101,BUCK,2,44.07,33.67,22.2,28.6,None
17:47:53.202,BOOST,2,44.04,33.67,22.4,28.6,None
17:47:53.303,BOOST,3,49.86,18.63,-21.5,-58.9,None
17:47:53.403,BOOST,3,49.76,18.61,-21.7,-59.0,None
17:47:53.503,BOOST,3,49.79,18.63,-21.7,-59.0,None
17:47:53.604,BOOST,3,49.79,18.63,-21.7,-59.1,None
17:47:53.704,BUCK,3,49.79,18.66,-21.7,-59.1,None
17:47:53.805,BUCK,2,44.07,33.52,22.2,28.6,None
17:47:53.905,BUCK,2,44.12,33.57,22.4,28.6,None
17:47:54.005,BUCK,2,44.09,33.6,22.2,28.6,None
17:47:54.106,BUCK,2,44.12,33.63,22.2,28.6,None
17:47:54.206,BOOST,2,44.12,33.64,22.4,28.6,None
17:47:54.307,BOOST,3,49.89,18.64,-21.7,-59.0,None
17:47:54.408,BOOST,3,49.79,18.63,-21.7,-58.9,None
17:47:54.508,BOOST,3,49.79,18.63,-21.7,-59.0,None
17:47:54.608,BOOST,3,49.79,18.64,-21.7,-59.1,None
17:47:54.708,BUCK,3,49.79,18.66,-21.7,-59.1,None
17:47:54.809,BUCK,2,44.04,33.58,22.4,28.6,None
17:47:54.909,BUCK,2,44.15,33.61,22.2,28.6,None
17:47:55.010,BUCK,2,44.12,33.63,22.4,28.6,None
17:47:55.111,BUCK,2,44.12,33.65,22.4,28.6,None
17:47:55.211,BOOST,2,44.09,33.65,22.4,28.6,None
17:47:55.311,BOOST,3,49.89,18.61,-21.7,-58.9,None
17:47:55.413,BOOST,3,49.79,18.61,-21.7,-59.0,None
17:47:55.513,BOOST,3,49.79,18.63,-21.7,-58.9,None
17:47:55.613,BOOST,3,49.79,18.64,-21.7,-59.0,None
17:47:55.714,BUCK,3,49.79,18.66,-21.7,-59.0,None
17:47:55.815,BUCK,2,44.02,33.58,22.4,28.6,None
17:47:55.915,BUCK,2,44.15,33.6,22.4,28.6,None
17:47:56.016,BUCK,2,44.12,33.61,22.4,28.6,None
17:47:56.116,BUCK,2,44.12,33.64,22.4,28.6,None
17:47:56.217,BOOST,2,44.09,33.64,22.4,28.6,None
17:47:56.317,BOOST,3,49.86,18.66,-21.7,-59.0,None
17:47:56.417,BOOST,3,49.79,18.66,-21.7,-59.1,None
17:47:56.517,BOOST,3,49.79,18.64,-21.7,-59.0,None
17:47:56.618,BOOST,3,49.79,18.64,-21.8,-59.0,None
17:47:56.719,BUCK,3,49.79,18.7,-21.8,-58.9,None
17:47:56.819,BUCK,2,44.09,33.57,22.2,28.6,None
17:47:56.920,BUCK,2,44.15,33.6,22.2,28.6,None
17:47:57.021,BUCK,2,44.09,33.63,22.4,28.6,None
17:47:57.121,BUCK,2,44.09,33.65,22.4,28.6,None
17:47:57.222,BOOST,2,44.07,33.64,22.4,28.6,None
17:47:57.323,BOOST,3,49.89,18.71,-21.7,-58.9,None
