Timestamp,Calex_Seq,Calex_Mode,HS_V,LS_V,HS_A,LS_A,Calex_Faults,Pack_V,Pack_A,SOC_%,T_Max,T_Min,Cell_Max_mV,Cell_Min_mV,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24
12:19:37.936,BOOST,1,47.46,28.59,0.0,0.0,None,28.6,0.0,67,-50,-50,2388,2382,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.036,BOOST,1,49.25,24.94,-9.5,-18.1,None,28.6,0.0,67,-50,-50,2388,2382,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.136,BOOST,3,48.87,24.95,-9.6,-18.0,None,28.6,0.0,67,-50,-50,2387,2382,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.246,BOOST,3,48.87,24.94,-9.6,-18.1,None,28.6,0.0,67,-50,-50,2105,2382,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.346,BOOST,3,48.87,24.94,-9.5,-18.1,None,25.1,0.0,67,-50,-50,2105,2116,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.446,BOOST,3,48.87,24.95,-9.5,-18.1,None,25.1,0.0,67,-50,-50,2105,2116,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.546,BOOST,3,48.84,24.94,-9.6,-18.1,None,25.1,0.0,67,-50,-50,2104,2116,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.661,BOOST,3,48.84,24.94,-9.5,-18.0,None,25.1,-19.1,67,-50,-50,2104,2116,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.765,BOOST,3,48.87,24.94,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2104,2115,2387,2388,2388,2388,2387,2388,2388,2389,2389,2388,2389,2382,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.865,BOOST,3,48.84,24.94,-9.5,-18.0,None,25.1,-19.1,67,-50,-50,2104,2115,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:38.965,BOOST,3,48.84,24.94,-9.5,-18.0,None,25.1,-19.1,67,-50,-50,2103,2115,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.066,BOOST,3,48.84,24.94,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2103,2114,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.175,BOOST,3,48.89,24.92,-9.5,-18.0,None,25.1,-19.1,67,-50,-50,2103,2114,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.284,BOOST,3,48.89,24.92,-9.5,-18.0,None,25.1,-19.1,67,-50,-50,2103,2114,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.397,BOOST,3,48.84,24.92,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2102,2114,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.506,BOOST,3,48.92,24.92,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2103,2114,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.606,BOOST,3,48.92,24.92,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2103,2113,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.717,BOOST,3,48.92,24.92,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2100,2113,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.817,BOOST,3,48.92,24.92,-9.3,-18.0,None,25.1,-19.1,67,-50,-50,2100,2113,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
12:19:39.926,BOOST,3,48.87,24.91,-9.5,-18.1,None,25.1,-19.1,67,-50,-50,2100,2113,2338,2041,1941,2104,1941,2251,1880,2145,2072,2086,2237,2115,0,0,0,0,0,0,0,0,0,0,0,0
