Timestamp,Pack_V,Pack_A,SOC_%,Cell_Max_mV,Cell_Min_mV,Temp_Max_C,Temp_Min_C,Alarms
15:55:12.334,0.0,0.0,0,0,0,0,0,N/A
15:55:12.534,0.0,0.0,0,0,0,0,0,N/A
15:55:12.734,0.0,0.0,0,0,0,0,0,N/A
15:55:12.939,0.0,0.0,0,0,0,0,0,N/A
15:55:13.140,0.0,0.0,0,0,0,0,0,N/A
15:55:13.340,0.0,0.0,0,0,0,0,0,N/A
15:55:13.540,0.0,0.0,0,0,0,0,0,N/A
15:55:13.740,0.0,0.0,0,0,0,0,0,N/A
15:55:13.940,0.0,0.0,0,0,0,0,0,N/A
15:55:14.140,0.0,0.0,0,0,0,0,0,N/A
15:55:14.340,0.0,0.0,0,0,0,0,0,N/A
15:55:14.540,0.0,0.0,0,0,0,0,0,N/A
15:55:14.740,0.0,0.0,0,0,0,0,0,N/A
15:55:14.940,0.0,0.0,0,0,0,0,0,N/A
15:55:15.141,0.0,0.0,0,0,0,0,0,N/A
15:55:15.341,0.0,0.0,0,0,0,0,0,N/A
15:55:15.541,0.0,0.0,0,0,0,0,0,N/A
15:55:15.741,0.0,0.0,0,0,0,0,0,N/A
15:55:15.941,0.0,0.0,0,0,0,0,0,N/A
15:55:16.141,0.0,0.0,0,0,0,0,0,N/A
15:55:16.341,0.0,0.0,0,0,0,0,0,N/A
15:55:16.541,0.0,0.0,0,0,0,0,0,N/A
15:55:16.741,0.0,0.0,0,0,0,0,0,N/A
15:55:16.941,0.0,0.0,0,0,0,0,0,N/A
15:55:17.142,0.0,0.0,0,0,0,0,0,N/A
15:55:17.342,0.0,0.0,0,0,0,0,0,N/A
15:55:17.542,0.0,0.0,0,0,0,0,0,N/A
