Timestamp,Pack_V,Pack_A,SOC_%,Temp_Max_C,Temp_Min_C,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Chg_ON,Dsg_ON,Bal_ON
14:08:31.163,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.266,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.366,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.565,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.664,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.768,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.868,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:31.970,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.119,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.173,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.283,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.395,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.506,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.616,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.729,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.838,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:32.949,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.055,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.157,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.260,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.360,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.461,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.611,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.712,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.763,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,1,1,1
14:08:33.864,28.9,0.0,68,31,30,2415,2416,2416,2416,2416,2417,2416,2416,2416,0,0,0,1,1,1
